location_name,horizon,quantile_0.025,quantile_0.5,quantile_0.975,quantile_0.025_rounded,quantile_0.5_rounded,quantile_0.975_rounded,target_end_date,reference_date,target_end_date_formatted,reference_date_formatted,forecast_due_date,forecast_due_date_formatted,model
Nevada,1,0.01637082114631743,0.02745563098121935,0.0498,0.0164,0.0275,0.0498,2025-12-27,2025-12-20,"December 27, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Nevada,2,0.01194908295060535,0.02263078736684691,0.05105720588866469,0.0119,0.0226,0.0511,2026-01-03,2025-12-20,"January 03, 2026","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
New Hampshire,0,0.01513109555684128,0.02550798309397207,0.04269811125355483,0.0151,0.0255,0.0427,2025-12-20,2025-12-20,"December 20, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
New Hampshire,1,0.01439755826001708,0.0304372923365391,0.06126081619679159,0.0144,0.0304,0.0613,2025-12-27,2025-12-20,"December 27, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
New Hampshire,2,0.01030489367012419,0.0255900417019857,0.0689401081150573,0.0103,0.0256,0.0689,2026-01-03,2025-12-20,"January 03, 2026","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
New Jersey,0,0.04205136660268645,0.06581563112826477,0.09496800151871224,0.0421,0.0658,0.095,2025-12-20,2025-12-20,"December 20, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
New Jersey,1,0.03783298858507685,0.07636185845246535,0.15442821616429112,0.0378,0.0764,0.1544,2025-12-27,2025-12-20,"December 27, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
New Jersey,2,0.02704490460427727,0.06945985967422948,0.1681590042309919,0.027,0.0695,0.1682,2026-01-03,2025-12-20,"January 03, 2026","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
New Mexico,0,0.02036314609148322,0.0300276848253824,0.05668472335274202,0.0204,0.03,0.0567,2025-12-20,2025-12-20,"December 20, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
New Mexico,1,0.02082214675016462,0.03500922383240194,0.0820642802140408,0.0208,0.035,0.0821,2025-12-27,2025-12-20,"December 27, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
New Mexico,2,0.01505462666813738,0.03035831849558747,0.08176398950352386,0.0151,0.0304,0.0818,2026-01-03,2025-12-20,"January 03, 2026","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
New York,0,0.04845371715522437,0.07208341967814257,0.11943778333581435,0.0485,0.0721,0.1194,2025-12-20,2025-12-20,"December 20, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
New York,1,0.04293486510453316,0.07904763371915463,0.1685486283922187,0.0429,0.079,0.1685,2025-12-27,2025-12-20,"December 27, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
New York,2,0.03002722048272726,0.07506224658757635,0.17895112329394075,0.03,0.0751,0.179,2026-01-03,2025-12-20,"January 03, 2026","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
North Carolina,0,0.0432097859960059,0.0652622381393789,0.10061283345386196,0.0432,0.0653,0.1006,2025-12-20,2025-12-20,"December 20, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
North Carolina,1,0.03890601027828348,0.07537018072230325,0.13228663826268056,0.0389,0.0754,0.1323,2025-12-27,2025-12-20,"December 27, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
North Carolina,2,0.03130922591713564,0.06966782343585032,0.1526325129235429,0.0313,0.0697,0.1526,2026-01-03,2025-12-20,"January 03, 2026","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
North Dakota,0,0.01913660133627196,0.02723193859807449,0.051,0.0191,0.0272,0.051,2025-12-20,2025-12-20,"December 20, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
North Dakota,1,0.01824787540931803,0.03284033189154713,0.08726421962430944,0.0182,0.0328,0.0873,2025-12-27,2025-12-20,"December 27, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
North Dakota,2,0.01292697945954556,0.02757861968907082,0.0761084135796753,0.0129,0.0276,0.0761,2026-01-03,2025-12-20,"January 03, 2026","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Ohio,0,0.01706713047424289,0.02806478834982578,0.04828081740444329,0.0171,0.0281,0.0483,2025-12-20,2025-12-20,"December 20, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Ohio,1,0.01516446021312342,0.03401694117107404,0.08433089491511334,0.0152,0.034,0.0843,2025-12-27,2025-12-20,"December 27, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Ohio,2,0.01177551671055105,0.02959835547980631,0.08339811552306826,0.0118,0.0296,0.0834,2026-01-03,2025-12-20,"January 03, 2026","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Oklahoma,0,0.00592982507473255,0.01086336396847083,0.01979801896278283,0.0059,0.0109,0.0198,2025-12-20,2025-12-20,"December 20, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Oklahoma,1,0.00579300255259113,0.01267723922061959,0.03134672542942005,0.0058,0.0127,0.0313,2025-12-27,2025-12-20,"December 27, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Oklahoma,2,0.00492443057196834,0.01332521273364234,0.03569174801022297,0.0049,0.0133,0.0357,2026-01-03,2025-12-20,"January 03, 2026","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Oregon,0,0.00692554595964268,0.01127101009632802,0.02153868537844443,0.0069,0.0113,0.0215,2025-12-20,2025-12-20,"December 20, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Oregon,1,0.00659911217333735,0.0142,0.03466975450006573,0.0066,0.0142,0.0347,2025-12-27,2025-12-20,"December 27, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Oregon,2,0.00508269744067028,0.01447165369649763,0.03965546324045511,0.0051,0.0145,0.0397,2026-01-03,2025-12-20,"January 03, 2026","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Pennsylvania,0,0.01496234766882364,0.02494934922738757,0.03872605153569686,0.015,0.0249,0.0387,2025-12-20,2025-12-20,"December 20, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Pennsylvania,1,0.01366615223603526,0.02832776390053524,0.0603,0.0137,0.0283,0.0603,2025-12-27,2025-12-20,"December 27, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
